title,authors,categories,thumbnail,average_rating
The Nibelungenlied,A. Hatto,Literary Collections,http://books.google.com/books/content?id=nCV_E8HJkNUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.87
The Mistress's Daughter,A. M. Homes,Biography & Autobiography,http://books.google.com/books/content?id=PjNZlxRmi9oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.28
Jack,A. M. Homes,Children of divorced parents,http://books.google.com/books/content?id=ijqDmZ3jszgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.63
Beauty's Punishment,A. N. Roquelaure;Anne Rice,Fiction,http://books.google.com/books/content?id=mJHgAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.62
Sleeping Beauty Novels,A.N. Roquelaure,Fiction,http://books.google.com/books/content?id=Z6AvGQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.99
Iron Fist,Aaron Allston,Fiction,http://books.google.com/books/content?id=Qq3rislRpkoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.03
To America with Love,Abbie Hoffman,Biography & Autobiography,http://books.google.com/books/content?id=VQlkPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.93
The Mini Zen Gardening Kit,Abd Al-Hayy Moore,Gardening,http://books.google.com/books/content?id=YoZFAwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.21
The Letters of John and Abigail Adams,Abigail Adams,Literary Collections,http://books.google.com/books/content?id=70tNvrRFYVIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.17
The Liberated Bride,Abraham B. Yehoshua;Hillel Halkin,Fiction,http://books.google.com/books/content?id=wzy1GYKAfgoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.76
The Gettysburg Address,Abraham Lincoln,Juvenile Nonfiction,http://books.google.com/books/content?id=AhM9QPgp7UMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.53
Selected Speeches and Writings,Abraham Lincoln,History,http://books.google.com/books/content?id=7PuBQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.23
Speeches and Writings 1832-1858,Abraham Lincoln,Illinois,http://books.google.com/books/content?id=2o561jt4Ct4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.37
Time for Ballet,Adèle Geras;Shelagh McNicholas,Juvenile Fiction,http://books.google.com/books/content?id=tVoFAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.71
Data Structures and Algorithms in C++,Adam Drozdek,Computers,http://books.google.com/books/content?id=W7Lsrs09KDYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.71
Paris to the Moon,Adam Gopnik,Biography & Autobiography,http://books.google.com/books/content?id=jSqtt5RuP6wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.76
The King in the Window,Adam Gopnik,Juvenile Fiction,http://books.google.com/books/content?id=2FryvaWSDHwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.62
